X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823608.04693295,4883273.58362033,11347,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1L,Champaign,12416,,AERIAL,K,,8572,,{4C0D24E8-8FEC-4FAA-8A82-518A487DE825}
-9823607.83736821,4883209.16268519,11348,One Way Right,"12"" X 36""", ,Unpunched Telespar, ,Regulatory,back to back,R6-1R,Champaign,12418,,AERIAL,K,,8573,,{572BF596-1668-4233-A050-CA57640158A2}
-9823608.72977777,4883209.47492838,11349,One Way Left,"12"" X 36""", ,Unpunched Telespar, ,Regulatory,back to back,R6-1L,Champaign,12419,,AERIAL,K,,8574,,{1A555BF1-3746-49CE-AA91-6F868DD07108}
-9823576.25145734,4882584.78727447,11350,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1L,Champaign,12420,,AERIAL,K,,8496,,{9EA121B5-B867-4232-BC33-11E5B066742B}
-9823576.25145734,4882584.78727447,11351,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1R,Champaign,12421,,AERIAL,K,,8496,,{34A86439-402F-4AD6-B19B-372E2BBCEC0B}
-9823581.19226449,4882640.79370199,11352,One Way Left,"12"" X 36""", ,Streetlight, ,Regulatory,back to back,R6-1L,Champaign,12422,,AERIAL,K,,8575,,{3ACAA3B5-E1B1-42DB-8C58-4AEB4883B090}
-9823581.19226449,4882640.79370199,11353,One Way Right,"12"" X 36""", ,Streetlight, ,Regulatory,back to back,R6-1R,Champaign,12423,,AERIAL,K,,8575,,{C1D87187-4AE3-4D25-9A95-004DAC337399}
-9823576.85739358,4882725.35537835,11354,One Way Left,"12"" X 36""", ,Punched Telespar,2014,Regulatory,back to back,R6-1L,Champaign,12424,,AERIAL,K,,8576,,{829B8DDE-854A-4EBC-AF7E-B966EBD104FE}
-9823576.85739358,4882725.35537835,11355,One Way Right,"12"" X 36""", ,Punched Telespar,2014,Regulatory,back to back,R6-1R,Champaign,12425,,AERIAL,K,,8576,,{EEFF9D56-0CD7-424D-9CE9-CB3D0F753521}
-9823581.30535091,4882779.44387172,11356,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1R,Champaign,12426,,AERIAL,K,,8577,,{AF79D749-352E-4E1B-BF7F-C5D5739FA47F}
-9823581.30535091,4882779.44387172,11357,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1L,Champaign,12427,,AERIAL,K,,8577,,{1998BBBD-9E23-44A8-83E5-8740C07DE6D3}
-9824415.61512178,4882837.19424471,11358,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1L,Champaign,12428,,AERIAL,A,,8578,,{F94A90C3-C49A-4CA5-93B6-56511586B085}
-9824415.61512178,4882837.19424471,11359,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1R,Champaign,12429,,AERIAL,A,,8578,,{51DDC221-863D-4BB3-B400-02AD8B0DDACE}
-9824156.74965052,4882846.80601751,11360,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1L,Champaign,12430,,AERIAL,A,,8579,,{A2A21CE7-7A6D-48D9-839E-AC3EA52B9298}
-9824135.71362911,4882836.75648471,11361,One Way Left,"12"" X 36""", ,Punched Telespar,2015,Regulatory,back to back,R6-1L,Champaign,12431,,AERIAL,A,,8514,,{F39851EA-3277-48B5-88CB-B602EB9BB1B8}
